# Copyright (c) 2026 Joseph Potashnik.
# Licensed under the MIT License. See LICENSE.txt for details.
# Samples of Target Dyck3.txt #
Count	Sentence
49	
13	[ ]
16	{ }
19	( )
10	[ ( ) ]
8	[ [ ] ]
11	( ( ) )
11	( ) ( )
16	( ) [ ]
7	[ ] ( )
16	{ { } }
12	{ [ ] }
9	{ ( ) }
6	[ { } ]
4	( [ ] )
15	{ } [ ]
14	( ) { }
9	{ } { }
14	[ ] { }
15	[ ] [ ]
9	{ } ( )
7	( { } )
12	[ { } ] ( )
8	{ ( ) ( ) }
11	{ ( ) } ( )
7	( [ ( ) ] )
4	{ [ [ ] ] }
5	( [ [ ] ] )
7	{ ( [ ] ) }
19	{ } { } { }
5	( ( ( ) ) )
6	( { } ) ( )
9	( { } { } )
7	[ ( ) ] ( )
10	[ ] { { } }
3	( ( ) ) { }
7	( { } ) { }
17	( ) { } [ ]
11	( ) [ ( ) ]
3	{ } [ ( ) ]
9	( ( [ ] ) )
9	( { ( ) } )
6	( ( ) [ ] )
14	{ } [ ] ( )
6	[ [ ] ] { }
9	{ { } } { }
7	[ ] [ ] ( )
16	[ ] ( ) ( )
9	[ { } ] [ ]
4	[ [ ( ) ] ]
21	{ } ( ) ( )
15	( ) ( ) { }
7	{ } { { } }
4	( [ ] ) { }
19	( ) [ ] ( )
12	( ( ) ) [ ]
10	( ) ( { } )
7	{ { } } ( )
9	( [ ] ( ) )
10	[ ] ( { } )
7	( ) ( ( ) )
4	[ ] [ ( ) ]
10	{ [ ] [ ] }
9	( { } [ ] )
2	[ ] [ [ ] ]
10	{ } [ { } ]
7	[ { [ ] } ]
5	[ ( { } ) ]
5	( { { } } )
14	{ } [ ] { }
7	{ ( ) [ ] }
5	[ ( [ ] ) ]
6	( [ ] ) ( )
10	[ ] { } { }
23	( ) { } ( )
13	{ } { ( ) }
22	{ } ( ) [ ]
9	{ } ( [ ] )
12	( [ ] { } )
13	[ ] { } ( )
19	( ) ( ) ( )
8	{ } ( { } )
11	[ ( ) ( ) ]
8	[ ] [ { } ]
14	( ) [ ] [ ]
7	[ { } { } ]
15	{ } { } [ ]
5	[ ( ) ] [ ]
6	( ) ( [ ] )
10	{ } [ ] [ ]
9	{ ( { } ) }
6	( ) { ( ) }
10	[ ] ( ) [ ]
6	{ { ( ) } }
8	[ ( ) ] { }
7	{ } ( ( ) )
3	{ [ ( ) ] }
11	[ { { } } ]
9	[ ] { [ ] }
9	{ ( ) } [ ]
16	[ ] [ ] { }
6	{ { [ ] } }
5	[ [ ] ] ( )
13	[ [ ] [ ] ]
12	{ } ( ) { }
10	{ [ ] } { }
10	{ { } { } }
8	( ( ) ) ( )
9	[ { } ] { }
7	{ ( ) } { }
4	( { } ( ) )
11	[ ] ( ) { }
13	[ ] { } [ ]
12	{ { } ( ) }
6	[ ] ( ( ) )
1	{ { } [ ] }
10	[ ] [ ] [ ]
3	{ [ ] } [ ]
12	( ) ( ) [ ]
4	{ [ ] { } }
10	{ { { } } }
7	[ ] ( [ ] )
6	[ [ ] ( ) ]
4	( ( ) ( ) )
6	( ( { } ) )
6	{ } { [ ] }
7	( ) [ { } ]
4	( { } ) [ ]
10	[ { ( ) } ]
7	{ [ ] ( ) }
10	{ } [ [ ] ]
14	( ) [ ] { }
7	{ [ ] } ( )
6	( ( ) { } )
5	[ [ ] ] [ ]
2	[ [ { } ] ]
5	{ ( ) { } }
8	{ { } } [ ]
8	{ ( ( ) ) }
21	{ } { } ( )
8	[ [ ] { } ]
11	[ [ [ ] ] ]
9	( { [ ] } )
7	( ) [ [ ] ]
7	[ ( ) { } ]
11	( [ { } ] )
7	[ ( ( ) ) ]
8	( [ ] ) [ ]
8	( [ ] [ ] )
10	( ) { { } }
16	( ) { } { }
9	[ ( ) [ ] ]
6	[ { } [ ] ]
7	[ ] { ( ) }
10	{ [ { } ] }
8	( ) { [ ] }
9	[ { } ( ) ]
9	{ } ( [ ] ) [ ]
5	( ( ( ) ) ) { }
3	( ) [ ( ( ) ) ]
9	( ( ) ) [ ] { }
7	( ( ) ) ( { } )
13	( { } ) [ ] { }
10	( ( ( ) ( ) ) )
8	[ [ ] { } { } ]
17	{ ( ) } ( ) [ ]
4	[ { [ ] ( ) } ]
7	[ ] [ ( ) ] [ ]
7	( ( { ( ) } ) )
13	[ [ ] ] [ ] ( )
6	[ [ ] ( ) ] { }
7	( { { ( ) } } )
4	{ [ [ { } ] ] }
7	[ ] { ( [ ] ) }
9	[ { } [ ] [ ] ]
13	[ ] ( ) ( { } )
5	( [ ( ) ( ) ] )
26	( ) { } ( ) [ ]
3	[ ( { } ( ) ) ]
5	[ { [ ] } { } ]
9	[ ] { [ ( ) ] }
7	[ ( { } ) [ ] ]
5	{ ( ) { ( ) } }
5	{ ( { } ) { } }
7	( ) ( [ { } ] )
12	[ [ [ { } ] ] ]
6	{ ( ) [ [ ] ] }
14	[ ] [ { } ] ( )
12	[ ( ) ] [ ] { }
5	{ [ ( ( ) ) ] }
4	[ ] { [ ] [ ] }
8	{ { { ( ) } } }
9	{ } [ [ [ ] ] ]
11	{ [ ] } ( ) [ ]
9	{ [ [ ] ] } { }
5	( { [ ( ) ] } )
10	{ } ( [ ] [ ] )
5	( ( ) { [ ] } )
6	[ ( { } ) ] [ ]
17	[ ] { } { [ ] }
12	( ) [ [ ] ] { }
8	{ ( ) [ { } ] }
13	[ ( ) ] ( ) [ ]
4	{ { [ ] ( ) } }
7	{ [ [ ] { } ] }
6	( ( ( ) ) ) ( )
9	( { } ) ( [ ] )
4	{ { [ { } ] } }
6	( ) { ( ( ) ) }
8	( ( ) ( ) ) [ ]
9	( [ [ { } ] ] )
10	( ) ( [ ] ) ( )
9	{ } ( { [ ] } )
5	[ ( ) ] [ [ ] ]
5	{ } [ ] { { } }
3	[ ] [ ( ( ) ) ]
4	( [ { } ( ) ] )
5	[ ] ( [ ( ) ] )
15	{ } [ ] ( [ ] )
5	{ { } } { } { }
26	[ ] { } [ ] { }
17	( ) [ ] [ ( ) ]
6	{ ( { } ( ) ) }
8	[ ] { ( ) [ ] }
10	{ } [ ( ( ) ) ]
7	( { ( ) } ( ) )
6	( ( [ ( ) ] ) )
3	[ { } [ ] ] [ ]
18	[ ] ( ) ( [ ] )
7	( { ( ) { } } )
4	[ ( ) { } ] ( )
3	{ } { [ ( ) ] }
9	[ ] [ ] ( ( ) )
10	{ } ( ) [ [ ] ]
3	[ [ ( ) ] ] { }
13	( { } ( ) { } )
5	( ) { { } ( ) }
4	( { } { { } } )
5	[ { ( ) } ] ( )
7	{ ( { } ) } ( )
6	{ } [ { ( ) } ]
5	( ) ( [ ] { } )
7	{ } [ ( [ ] ) ]
10	{ } [ ( ) [ ] ]
9	[ [ ] [ ] { } ]
7	[ ] ( { ( ) } )
6	{ [ [ ] ] { } }
6	( { } ) [ ( ) ]
12	[ { } { } ( ) ]
5	{ { [ ] } [ ] }
9	{ [ { } ] } [ ]
9	[ ] { { { } } }
2	[ ] ( ( { } ) )
3	[ ] [ ( [ ] ) ]
3	[ { } ( ( ) ) ]
6	{ { } [ { } ] }
12	[ [ ] ] ( ) ( )
9	[ ( ) ] [ ] ( )
7	{ { } ( ) } ( )
4	{ [ { { } } ] }
7	( ) { } [ [ ] ]
4	{ ( ) [ ] } { }
6	[ [ { } ] [ ] ]
13	( { } ) [ ] [ ]
11	[ ( ) ] { } { }
7	[ { [ ] [ ] } ]
7	{ ( ) } [ [ ] ]
5	{ } ( { } { } )
14	[ ] { } [ { } ]
6	[ [ ( [ ] ) ] ]
6	{ { [ ] } } [ ]
16	[ [ ] ] { } ( )
8	( ( { } ) ) { }
6	{ [ [ ] ] } ( )
19	{ ( ) } { } { }
5	[ { ( ) ( ) } ]
14	( { } ( ) ( ) )
3	( ) { [ [ ] ] }
7	{ { { } } ( ) }
17	[ ] [ ] [ ] [ ]
3	[ ( { ( ) } ) ]
3	{ ( ) { { } } }
12	[ ] { ( ) } [ ]
15	( ) [ ] ( ( ) )
8	{ } [ ( ) ] ( )
14	[ { } ] [ ] ( )
2	[ { ( ) } ( ) ]
9	[ { } [ ] { } ]
14	{ } [ [ ] ] [ ]
17	[ { } { } { } ]
4	[ { [ ( ) ] } ]
4	{ [ ( { } ) ] }
10	( ) { ( ) } [ ]
15	( ) ( ) [ ( ) ]
4	{ [ { ( ) } ] }
8	( { [ ] } ) { }
9	[ ( { } [ ] ) ]
7	[ { { } } ( ) ]
9	( ( ) [ ] { } )
4	[ ] ( ( ) [ ] )
